Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
27-Nov-2024,EQ,144.31,144.9,142.9,144.47,144.64,144.53,143.94,184.6,126.0,24895631,3583450837.82,171733
26-Nov-2024,EQ,144.22,145.8,143.58,143.67,144.42,144.47,144.86,184.6,126.0,25608469,3709654966.85,140188
25-Nov-2024,EQ,144.94,146.15,142.84,142.78,143.87,143.67,144.36,184.6,126.0,53883890,7778849397.59,194245
22-Nov-2024,EQ,140.15,143.19,139.65,140.22,142.55,142.78,141.57,184.6,124.05,43710169,6188014583.09,218947
21-Nov-2024,EQ,139.5,141.6,137.25,139.46,140.0,140.22,139.78,184.6,124.05,58398744,8162840711.77,307883
19-Nov-2024,EQ,142.0,142.49,139.06,141.21,139.58,139.46,140.88,184.6,124.05,37611903,5298700773.9,210103
18-Nov-2024,EQ,139.49,143.25,138.0,137.98,141.2,141.21,140.81,184.6,124.05,40233848,5665274322.36,269998
14-Nov-2024,EQ,139.71,140.73,137.5,139.17,138.1,137.98,138.75,184.6,119.9,36345184,5042969174.22,292008
13-Nov-2024,EQ,143.6,143.6,138.6,144.17,139.69,139.17,140.03,184.6,119.9,57609083,8066778657.17,428370
12-Nov-2024,EQ,145.65,147.13,143.6,145.01,143.9,144.17,145.51,184.6,119.9,28861672,4199799655.07,246899
11-Nov-2024,EQ,147.57,147.69,144.1,147.57,145.3,145.01,145.58,184.6,119.9,47497863,6914506463.5,315622
08-Nov-2024,EQ,152.0,152.0,146.94,150.95,147.3,147.57,149.2,184.6,117.5,61980989,9247404903.34,288855
07-Nov-2024,EQ,156.11,156.92,150.2,153.62,151.15,150.95,153.48,184.6,117.5,88254789,13545412839.66,373011
06-Nov-2024,EQ,154.0,154.95,149.59,152.29,153.81,153.62,151.73,184.6,117.5,48928986,7423963642.1,261381
05-Nov-2024,EQ,147.0,152.55,146.95,146.95,152.45,152.29,150.69,184.6,117.5,42772283,6445142415.2,244601
04-Nov-2024,EQ,150.0,150.0,145.1,149.75,147.1,146.95,146.86,184.6,117.5,25571021,3755435352.87,287395
01-Nov-2024,EQ,149.66,150.25,149.0,148.56,149.7,149.75,149.85,184.6,114.6,5106804,765248053.69,90862
31-Oct-2024,EQ,149.08,149.95,148.2,148.97,148.33,148.56,148.87,184.6,114.6,26383702,3927661607.97,192116
30-Oct-2024,EQ,148.1,150.95,148.1,150.06,148.85,148.97,149.65,184.6,114.6,21362130,3196926857.03,179907
29-Oct-2024,EQ,149.85,150.45,146.55,149.38,150.1,150.06,148.24,184.6,114.6,32258407,4782062026.21,278118
28-Oct-2024,EQ,146.0,149.73,144.73,145.86,149.5,149.38,148.11,184.6,114.6,28386897,4204485399.5,202518
25-Oct-2024,EQ,149.0,149.5,144.43,148.98,146.25,145.86,145.89,184.6,114.6,39730802,5796263940.69,302722
24-Oct-2024,EQ,149.49,149.83,148.01,148.78,149.06,148.98,148.92,184.6,114.6,22115070,3293453859.18,209076
23-Oct-2024,EQ,150.3,151.95,148.05,150.39,148.69,148.78,149.84,184.6,114.6,42107893,6309547439.99,245073
22-Oct-2024,EQ,154.9,154.9,150.1,155.03,150.9,150.39,151.88,184.6,114.6,39079846,5935426865.61,228867
21-Oct-2024,EQ,156.1,157.93,154.59,155.39,155.0,155.03,155.43,184.6,114.6,25799090,4010016405.81,196995
18-Oct-2024,EQ,152.4,156.2,151.1,152.4,155.5,155.39,154.3,184.6,114.6,34750795,5362210491.59,212619
